"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
2 2 1 2 4 "VISUAL"
2 2 3 3.65 8 "VISUAL"
2 2 3 3.65 10 "VISUAL"
2 2 6 9 12 "VISUAL"
2 2 5 6.65 15 "VISUAL"
2 2 1 2 5 "VISUAL"
2 2 1 2 5 "VISUAL"
2 2 4 4.9 10 "VISUAL"
2 2 3 3.65 12 "VISUAL"
20 1 6 9 3.5 "OSCURAS"
20 1 1 2 1 "OSCURAS"
20 1 3 3.65 1.5 "OSCURAS"
20 1 2 2.7 1 "OSCURAS"
20 1 1 2 1.5 "OSCURAS"
20 1 5 6.65 2.5 "OSCURAS"
20 1 3 3.65 2.75 "OSCURAS"
20 1 4 4.9 2 "OSCURAS"
20 1 3 3.65 1.5 "OSCURAS"
20 1 4 4.9 3 "OSCURAS"
20 1 2 2.7 1 "OSCURAS"
20 1 6 9 3.5 "OSCURAS"
20 1 1 2 0.4 "OSCURAS"
20 1 6 9 3.5 "OSCURAS"
20 1 4 4.9 2.5 "OSCURAS"
20 1 2 2.7 2 "OSCURAS"
20 1 5 6.65 3.5 "OSCURAS"
20 1 5 6.65 4 "OSCURAS"
20 2 4 4.9 3.5 "VISUAL"
20 2 2 2.7 3 "VISUAL"
20 2 6 9 5 "VISUAL"
20 2 3 3.65 4.5 "VISUAL"
20 2 5 6.65 7 "VISUAL"
20 2 4 4.9 5 "VISUAL"
20 2 5 6.65 7 "VISUAL"
20 2 1 2 1.5 "VISUAL"
20 2 5 6.65 4.5 "VISUAL"
20 2 3 3.65 3 "VISUAL"
20 2 4 4.9 5 "VISUAL"
20 2 2 2.7 3.5 "VISUAL"
20 2 2 2.7 4 "VISUAL"
20 2 6 9 6 "VISUAL"
20 2 1 2 1 "VISUAL"
20 2 1 2 1.5 "VISUAL"
20 2 6 9 7 "VISUAL"
20 2 3 3.65 2.5 "VISUAL"
3 1 1 2 1 "OSCURAS"
3 1 3 3.65 1.5 "OSCURAS"
3 1 2 2.7 2 "OSCURAS"
3 1 5 6.65 2.5 "OSCURAS"
3 1 3 3.65 2.5 "OSCURAS"
3 1 4 4.9 2 "OSCURAS"
3 1 5 6.65 2.5 "OSCURAS"
3 1 1 2 1.5 "OSCURAS"
3 1 4 4.9 1.5 "OSCURAS"
3 1 6 9 2.5 "OSCURAS"
3 1 5 6.65 2 "OSCURAS"
