"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
26 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
26 1 3 3.65 1.2 "SALA_GRANDE" -2.45 -0.671232876712329
27 1 2 2.7 2.5 "SALA_CHICA" -0.2 -0.0740740740740741
27 1 2 2.7 2.5 "SALA_CHICA" -0.2 -0.0740740740740741
27 1 4 4.9 3 "SALA_CHICA" -1.9 -0.387755102040816
27 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
27 1 5 6.65 4.25 "SALA_CHICA" -2.4 -0.360902255639098
27 1 5 6.65 3.5 "SALA_CHICA" -3.15 -0.473684210526316
27 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
27 1 6 9 4.25 "SALA_CHICA" -4.75 -0.527777777777778
27 1 3 3.65 2 "SALA_CHICA" -1.65 -0.452054794520548
27 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
27 1 4 4.9 2.5 "SALA_CHICA" -2.4 -0.489795918367347
27 1 3 3.65 3 "SALA_CHICA" -0.65 -0.178082191780822
27 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
27 1 1 2 1 "SALA_CHICA" -1 -0.5
27 1 5 6.65 4.5 "SALA_CHICA" -2.15 -0.323308270676692
27 1 4 4.9 5 "SALA_CHICA" 0.0999999999999996 0.020408163265306
27 1 2 2.7 2 "SALA_CHICA" -0.7 -0.259259259259259
27 1 3 3.65 3 "SALA_CHICA" -0.65 -0.178082191780822
29 1 4 4.9 1 "SALA_CHICA" -3.9 -0.795918367346939
29 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
29 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
29 1 4 4.9 2.5 "SALA_CHICA" -2.4 -0.489795918367347
29 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
29 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
29 1 5 6.65 3 "SALA_CHICA" -3.65 -0.548872180451128
29 1 3 3.65 3 "SALA_CHICA" -0.65 -0.178082191780822
29 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
29 1 3 3.65 2 "SALA_CHICA" -1.65 -0.452054794520548
29 1 2 2.7 2 "SALA_CHICA" -0.7 -0.259259259259259
29 1 5 6.65 3 "SALA_CHICA" -3.65 -0.548872180451128
29 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
29 1 6 9 4.5 "SALA_CHICA" -4.5 -0.5
29 1 3 3.65 3 "SALA_CHICA" -0.65 -0.178082191780822
29 1 1 2 1 "SALA_CHICA" -1 -0.5
29 1 5 6.65 3 "SALA_CHICA" -3.65 -0.548872180451128
29 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
30 1 5 6.65 3 "SALA_GRANDE" -3.65 -0.548872180451128
30 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
30 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
30 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
30 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
