"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
7 2 6 9 0.85 "VR" -8.15 -0.905555555555556
7 2 2 2.7 0.6 "VR" -2.1 -0.777777777777778
8 1 6 9 2 "OSCURAS" -7 -0.777777777777778
8 1 3 3.65 1.5 "OSCURAS" -2.15 -0.589041095890411
8 1 3 3.65 1 "OSCURAS" -2.65 -0.726027397260274
8 1 1 2 0.5 "OSCURAS" -1.5 -0.75
8 1 4 4.9 0.5 "OSCURAS" -4.4 -0.897959183673469
8 1 6 9 1.5 "OSCURAS" -7.5 -0.833333333333333
8 1 6 9 1.75 "OSCURAS" -7.25 -0.805555555555556
8 1 5 6.65 1.15 "OSCURAS" -5.5 -0.827067669172932
8 1 4 4.9 0.5 "OSCURAS" -4.4 -0.897959183673469
8 1 2 2.7 0.45 "OSCURAS" -2.25 -0.833333333333333
8 1 2 2.7 0.5 "OSCURAS" -2.2 -0.814814814814815
8 1 1 2 0.5 "OSCURAS" -1.5 -0.75
8 1 4 4.9 0.5 "OSCURAS" -4.4 -0.897959183673469
8 1 5 6.65 1 "OSCURAS" -5.65 -0.849624060150376
8 1 3 3.65 1 "OSCURAS" -2.65 -0.726027397260274
8 1 2 2.7 0.45 "OSCURAS" -2.25 -0.833333333333333
8 1 1 2 0.4 "OSCURAS" -1.6 -0.8
8 1 5 6.65 1.3 "OSCURAS" -5.35 -0.804511278195489
8 2 2 2.7 1 "VR" -1.7 -0.62962962962963
8 2 4 4.9 1.1 "VR" -3.8 -0.775510204081633
8 2 6 9 1.9 "VR" -7.1 -0.788888888888889
8 2 6 9 2.1 "VR" -6.9 -0.766666666666667
8 2 5 6.65 2 "VR" -4.65 -0.699248120300752
8 2 2 2.7 1.15 "VR" -1.55 -0.574074074074074
8 2 4 4.9 1 "VR" -3.9 -0.795918367346939
8 2 1 2 0.5 "VR" -1.5 -0.75
8 2 2 2.7 0.45 "VR" -2.25 -0.833333333333333
8 2 5 6.65 1.2 "VR" -5.45 -0.819548872180451
8 2 3 3.65 1.15 "VR" -2.5 -0.684931506849315
8 2 3 3.65 1 "VR" -2.65 -0.726027397260274
8 2 3 3.65 1.25 "VR" -2.4 -0.657534246575342
8 2 4 4.9 1.3 "VR" -3.6 -0.73469387755102
8 2 1 2 0.3 "VR" -1.7 -0.85
8 2 1 2 0.3 "VR" -1.7 -0.85
8 2 5 6.65 1.5 "VR" -5.15 -0.774436090225564
8 2 6 9 2.5 "VR" -6.5 -0.722222222222222
9 1 1 2 3 "OSCURAS" 1 0.5
9 1 2 2.7 3 "OSCURAS" 0.3 0.111111111111111
9 1 4 4.9 3 "OSCURAS" -1.9 -0.387755102040816
9 1 4 4.9 2 "OSCURAS" -2.9 -0.591836734693878
9 1 6 9 6 "OSCURAS" -3 -0.333333333333333
9 1 2 2.7 3 "OSCURAS" 0.3 0.111111111111111
9 1 5 6.65 4 "OSCURAS" -2.65 -0.398496240601504
9 1 3 3.65 2 "OSCURAS" -1.65 -0.452054794520548
9 1 2 2.7 1 "OSCURAS" -1.7 -0.62962962962963
9 1 1 2 1 "OSCURAS" -1 -0.5
9 1 4 4.9 4 "OSCURAS" -0.9 -0.183673469387755
9 1 6 9 5 "OSCURAS" -4 -0.444444444444444
